SENTENCES,EMOTION,SCORING
went around rest day feeling distressed changed appearance based someones comments how made even coincidence more appealing just felt wrong wrong wrong,fear,2.0
really enjoy cabernet how aggressive flavors tend isnt exactly light wine still general congenial feel find very pleasant,joy,5.0
woke very early morning feeling joyful,joy,5.0
wonder how feels loved someone love,love,4.5
feel havent blogged ages least truly blogged update cute little post today,joy,5.0
feel cared accepted,love,4.5
feel passionate knitting seeing really good films surprisingly awesome tv programs now cant believe just wrote,love,4.5
im feeling depressed again,sadness,1.5
feel drained feel talking others will finish all strength,sadness,1.5
feeling ok lots bruising arms where decided remove blood,joy,5.0
just dont feel others worthwhile,sadness,1.5
im just feeling listless bored something,sadness,1.5
joy allowing kids feel like valued treasures just blast kid alongside can just say incredibly humbling experience influence childs life know say internalized,joy,5.0
sometimes feel irritated thought spending money few annuals spruce doorstep,anger,1.0
wish could bottle squeals delight take whenever im feeling grumpy,joy,5.0
feeling overwhelmed all needing take time,fear,2.0
im feeling dangerous ill just write figure where hell itll take,anger,1.0
honestly thought impossible point feel pretty,joy,5.0
found some korean men turning foreign women freedom feel can easily accounted dating koreans can casual thing more often than not tends serious matter,joy,5.0
think also pity party feeling bit frustrated how little time seem each day,anger,1.0
forgive accepting allowing feeling going get punished something wrong,sadness,1.5
feel like im part problem when call missy janes trusting angel cover not airbrushing all real skin cover models,sadness,1.5
might feel offended times hearing statements strongly disagree,anger,1.0
can easily feel quite pressured routines really noticed difference away,fear,2.0
feeling need some christmas crafting week especially seeing couple lovely quilty christmas projects stitch group,joy,5.0
can cycle further than ever feeling finishing manchester blackpool miles then not all bothered ride extra mile put,joy,5.0
im not sure how feel more than anything im keen see test see im yet ready view friend,sadness,1.5
also feel lethargic again,sadness,1.5
im feeling somewhat nostalgic game just fact star wars,love,4.5
dont feel like should punished carry burden even though four years now,sadness,1.5
feeling like said humour gets im one people even spoke issues no one would too bothered would care thought head wasnt true way like dont want burden sort thing,sadness,1.5
feel part life how treasured london flatmates especially neat point something say where,love,4.5
feel all innocent now,joy,5.0
feel hopeful new treatment extend life,joy,5.0
feel like idiot trusting though,sadness,1.5
only providing link courtesy author all stuff either time never experienced even lived when available so couldnt feel emotional any,sadness,1.5
feeling kinda lost best friend,sadness,1.5
ive few rough days since then midst crying dealing feeling just so defeated emotional put coat curled created safety nest inside coat,sadness,1.5
feel terribly remorseful didnt stay faithful plans get sooner,sadness,1.5
went wedding weekend say feeling very important,joy,5.0
should stop reading sids blogs part blogging community feel supporting each other get better handling grief hence not going stop,love,4.5
feel less shy exploring roles more physical ways,joy,5.0
replied feeling strange giving orders,surprise,3.5
chant invocation feel force supporting teach,joy,5.0
feel like moves sleep glad enjoyed week good sleep mentioned feeling now,sadness,1.5
really hurt feel unimportant sucks,sadness,1.5
grew around feeling living only minutes away gorgeous atlantic ocean brazil so probably no surprise grew fond ocean,joy,5.0
feel honoured today olu jacobs feel honoured today olu jacobs,joy,5.0
made some chili oil monday feeling dangerous,anger,1.0
started walking again yesterday feels amazing,joy,5.0
ive also feeling somewhat emoirritable lately,anger,1.0
felt joyful then subsided now feel joyful again,joy,5.0
feel like shy away triggering some stereotype person will scream break things didnt get eat favorite kind sandwich,fear,2.0
feel completely distracted emotionally drained,sadness,1.5
im exhausted feeling little morose now im livid top everything else,anger,1.0
feel so safe tucked away,joy,5.0
im feeling too tortured write today,sadness,1.5
promise youll feel inspired afterwards,joy,5.0
feel however something far more precious than feelings,joy,5.0
feel working together supporting each other whole can represent larger younger voice politics can say,joy,5.0
im alone apartment get overwhelming feeling like im watched im unwelcome,fear,2.0
feel blessed people life remind all time right thing look better like,love,4.5
come associate bad feelings bad behaviour only continued,sadness,1.5
feel lot affection longing conveyed,love,4.5
looking some vest tops some shorts long ones due feel paranoid cellulite everywhere,fear,2.0
feel like bit divine intervention,joy,5.0
know shes here im so thankful warm loving peaceful presence feel when anger feelings discontent frustration flare,love,4.5
im trying understanding openminded fair im feeling completely pissed max few things,anger,1.0
dont know helps all writing all made feel somewhat regretful ashamed more share just dont think can right now,sadness,1.5
feel happy solution,joy,5.0
enjoy book however especially liked characters brothers one fired detecting spirit other feeling skeptical willing back brother fight,joy,5.0
im not sure just feels way everyone tortured souls dont make best boyfriends,sadness,1.5
not conducted survey quite likely many feel assaulted onels demons other creators would felt walls covered only eminent figures patriotic heroes epic deeds,sadness,1.5
think level understanding though still feel hes hesitant,fear,2.0
just feel so virtuous when go field trip,joy,5.0
im not gonna lie kinda sad feeling pretty lonely,sadness,1.5
im feeling ecstatic right now classy everafter redesign project begins week,joy,5.0
feel could avoided some blazes markers cairns very annoyed point,anger,1.0
never told boyfriend parents remember feeling embarrassed maybe even little ashamed,sadness,1.5
feel more aggravated annoyed visits,anger,1.0
im feeling completely idiotic not able contribute,sadness,1.5
aint happy im feeling glad got sunshine bag im useless not long future coming,joy,5.0
feel strong dont let anger win,joy,5.0
always feel so helpless times disaster feel little better knowing even few dollars can make difference someone need,sadness,1.5
honestly feel extremely shy ask friends take pictures how vain must think,fear,2.0
ill find elusive second wind feel more hopeful today,joy,5.0
feel intimidated nervous overwhelmed shake like leaf,fear,2.0
make feel useful fucking guy,sadness,1.5
feel most inspired create ive thinking lot inspiration week,joy,5.0
think most interactions person probably fine sufficiently respectful polite ladies dont feel abused,joy,5.0
im feeling extremely fabulous jacket shoes aint no bitches gonna bring hahah,joy,5.0
ive chosen walk jesus maybe im feeling bit miserable im going suck think three dudes,sadness,1.5
good day right now im feeling pretty irritable no real reason meaning nothing significant happened make feel annoyed,anger,1.0
feeling contented pissed same time,anger,1.0
wonder homeowners would feel weird parked gape landscaping,fear,2.0
both feel impatience rate loss impressed same time,surprise,3.5
im big guy ive gotten some rigs weve worked try see feel like let tell less than pleasant,sadness,1.5
ran errands buy cora few newbornsized sleepers not previously made any newbornsized babies went lunch celebrate how great feeling feel amazing no pain no pain meds moving around almost completely normally days,joy,5.0
really not feeling childfriendly,sadness,1.5
feel furious,anger,1.0
think feel like person still amazed,surprise,3.5
like think present life times working mum good standard ever miss apostrophe misspell particular word please feel free call,joy,5.0
dont feel can ask feels like dumb question,fear,2.0
feel proud know several people deserved advanced now finally picked time around last time few peoples cases,joy,5.0
give goals feel boring,sadness,1.5
careful make sure characters featured can feel sympathetic,love,4.5
didnt make weight watchers meeting feeling guilty made sure healthy breakfast consisting muesli yoghurt fruit,sadness,1.5
feeling tender spot foot when flex certain way so back wearing shoes all day cowboy,sadness,1.5
know how feels weird right,sadness,1.5
thought yoga supposed make feel tranquil peaceful sculpt legs greek goddess,joy,5.0
just feel one things dont talk too much then too many people come know then plan doesnt taste sweet nor feel like plan,fear,2.0
left theater ran hand sadly plush red backs seats front feeling almost mournful wasnt going back long time,sadness,1.5
asked some girls meant valued most part response felt valued when people around made feel valued treated loving caring manner,joy,5.0
feeling very petty right now,anger,1.0
wasnt person helping realized inspired all people start charity work cant help feel proud,joy,5.0
feel so amazingly overwhelmingly thrilled wedding,joy,5.0
feel shame strange way,sadness,1.5
suspect much country feels tragic events last week,sadness,1.5
feel like most part accepted part life people will never change,sadness,1.5
find relaxes feel productive making food end product should taste nice will satisfy other people,joy,5.0
feel sometimes ive distracted neglectful thankful not adding another box check otherwise busy days,sadness,1.5
feel individuals opening line shows how inadequate simple words can,sadness,1.5
ive too deep swamps swimming muddy waters tortured fear feeling lonely lost,sadness,1.5
didnt feel talented anything eventually wasnt putting fully,sadness,1.5
read blog feel shes one person doesnt care how people look believes herself no matter how bitchy annoying selfcentered may seem people,anger,1.0
sat here feeling mightily distracted not wanting write next scene nano just yet rape torture bad stuff,anger,1.0
came across something made feel lousy,sadness,1.5
love rides wasnt feeling too hot day,sadness,1.5
feel bothered any things open door,anger,1.0
found feeling nostalgic thought temporarily abandoned little bishop chronicles,love,4.5
forgive accepted allowed think writing blog someone will feel sorry give some sympathy tell right,sadness,1.5
feel irritable number people came office whining own circumstances realize im not practicing thinking good things find better way pull yourself present,anger,1.0
only too well aware strength feeling house holds tragic needless deaths so many men women children,sadness,1.5
feel all supporting so extreme there would no way put number value,joy,5.0
feel such duties unimportant profession just not qualified discuss all,sadness,1.5
feel proud happy also very grateful all read,joy,5.0
feel shaky battering emotions im still standing,fear,2.0
feel like all stubborn stingy,anger,1.0
feel like can traipse all lives tromping heelloving hearts stilettos,sadness,1.5
reread comfort familiarity book whose plot already know easier deal when im feeling stressed than newtome book all unknowns,sadness,1.5
love sometimes feel exhausted,sadness,1.5
im sorry feel so uncertain,fear,2.0
im feeling crappy ill fish compliments like any other girl,sadness,1.5
asleep would feel no pain violent act would completely unjustified all same,anger,1.0
feel burdened stuck center dark tunnel,sadness,1.5
know feelings very real not petty neither mine here,anger,1.0
would look skyscrapers feel amazed little girl montana there,surprise,3.5
dont want feel irritated,anger,1.0
feel like look like miserable heap,sadness,1.5
really feel like useless world,sadness,1.5
im definitely not feeling fearful anything right now,joy,5.0
im now day two plan im feeling positive,joy,5.0
im feeling really terrible journaling also come screeching halt well,sadness,1.5
feel today positive gift delivered us teachers very stressful week,joy,5.0
feeling shaky morning taking well,fear,2.0
feel like rushed relationship,anger,1.0
maintain feelings should repressed not expressed,sadness,1.5
found overwhelmed jealousy selfcontempt found feeling towards lives sweet friends acquaintances portrayed social media,sadness,1.5
feel last time youre one feel paranoid,fear,2.0
know how feels tortured,fear,2.0
will tell feeling quite invigorated,joy,5.0
vented feelings towards pathetic excuse communicator,anger,1.0
fancied terrains there feel keen go there again,joy,5.0
feel presence gentle touch,love,4.5
still feeling bit dull loss sleep trying sleep each morning possible,sadness,1.5
would feel so dont know maybe little resentful,anger,1.0
when first started using not like felt like made hair feel very dirty even though just washed hair,sadness,1.5
look situation feel so so jealous almost cant bear,anger,1.0
feeling triumphant today,joy,5.0
feel like writer wants think so proclaiming no longer liked pulsars petty hilarious bit character,joy,5.0
im feeling sentimental need reassurance,sadness,1.5
ive ever read explains why feel way all time reassures im not just defective somehow,sadness,1.5
come contact regular basis sooner can figure how kind all situations sooner will feel valued appreciated loved desire learn how pass kindness others learning,joy,5.0
tried adding any other type cheese talking small quantities right back feeling shitty,sadness,1.5
seem share equal passion longdistance touring harleydavidsons so feel sure wed bore tears every person within earshot,joy,5.0
dont know mostly hes forcing himself distracted hes feeling more determined think though hes still hurting learning cope kame takes breath,sadness,1.5
help daughter when feeling angry,anger,1.0
feel terrible when hurt peoples feelings worse afterwards always hope never again,sadness,1.5
feel little glamorous wet brush,joy,5.0
just feel so so dont afraid pray again need go back time forgive sins so so sloth,fear,2.0
grew feeling ugly inadequate,sadness,1.5
feel such sense accomplishment embarrassed clothes prepared either donate charity throw,joy,5.0
dont think point yet foresee lot traffic bed crib old enough no longer feel only acceptable answer dark,joy,5.0
know feel awful when ask husband watch audrey just long enough take shower,sadness,1.5
hate feel so bothered word team word badminton,anger,1.0
could empathize tab raging hormones connection feeling like someone else gets thinks youre smart pretty worth attention,joy,5.0
feel so totally invigorated completely forget like cold,joy,5.0
wont give too much case feel greedy,anger,1.0
tell love feelings sincere dear,love,4.5
feel pain vein oh so vain insane,sadness,1.5
feel worry too much much petty things like,fear,2.0
wanted thank all giving jordan chance together without any distraction making us feel so welcomed loved,joy,5.0
feel affirmed gracious sensuous will less selfdoubt,joy,5.0
spent waking hours enjoying freedom not owning cellphone feeling smug situations phone would awfully convenient fielding incredulous questions,joy,5.0
dont like feeling like eager schoolboy waiting around hours just touch shining aluminium,sadness,1.5
feel so greedy so needy so helpless,sadness,1.5
when heard last regulation socialist government concerning pensions,sadness,1.5
feel so awful said,sadness,1.5
finally cast studio show feels fab,joy,5.0
feel extremely gloomy confused,sadness,1.5
feel passionate,joy,5.0
feel worthless pointless feel like everyones third wheel not even second,sadness,1.5
felt emotion when name announced radio selected come lilongwe school health sciences take training course medical assistant,joy,5.0
feeling superior women left alcoholic husbands stronger more godly wasnt ever going,joy,5.0
really feel women work obnoxious cretins,anger,1.0
didnt drink much last time people get ultrasounds weeks still enough feeling distinctly eager toilet end,joy,5.0
feel perfectly acceptable consume homemade chex party mix breakfast holidays given fact mostly cereal,joy,5.0
feel like dont think sincere when really told us exclusively,sadness,1.5
would always song stuck head bombing incident then would feel bit weird dont really pay attention lyrics sounds like such happy song not type youre supposed hum difficult days,fear,2.0
feel comments opinion sincere some people get wrong message,sadness,1.5
im sorry im feeling little bitchy tackylooking women came sat next,anger,1.0
feel like charmed gave means spend few years when sons very young home,joy,5.0
im really happy just feel exhausted,sadness,1.5
feel kind dull grief,sadness,1.5
feel particularly uncomfortable how much driver looking phone shout eyes prize,fear,2.0
ive left orangescented mixture white feel free color wish,joy,5.0
always appreciate please feel free become follower come back visit again soon,joy,5.0
left feeling satisfied donna knew capable hands,joy,5.0
started feeling uncomfortable around straight male friends particularly one drunkenly came grabbing waist attempted murmur sweet nothings ear party same week,fear,2.0
feel uncomfortable here,fear,2.0
could done more feeling pleasant tiredness good sweat going so stopped,joy,5.0
dont feel least bit unwelcome party views not uncommon,joy,5.0
feel like im super rich kinda like when could drink goldschlager haha,joy,5.0
feel rude say better than all other men,anger,1.0
feel accepted condition,joy,5.0
didnt still dont feel lucky though,sadness,1.5
managed relearn feeling insecure again,fear,2.0
mean idea intoxicating course feels amazing when happening happens morning when wake go work soandso all shit something completely impractical,fear,2.0
so many social networks right now sometimes feel like pretty talked,sadness,1.5
feel like should some sort rockstar razzledazzle lifestyle would least like spend third life something feel worthwhile,sadness,1.5
feel agitated lot im straddling articulacy incoherence,anger,1.0
start feel little overwhelmed knowing make still,fear,2.0
dont know sometimes feel world troubled deeply pathologically troubled,sadness,1.5
feel like bring characters life completely im always kind surprised actors together,surprise,3.5
felt confused sometimes makes feel useless,sadness,1.5
left feeling heartbroken losing child then guilty parenting wifeing so far par last months,sadness,1.5
noticed feeling very stressed anxious just couldnt quite put finger why,fear,2.0
never feel ashamed humiliated life,sadness,1.5
exist existence even mean anything anyone apart family always wonder existence fuck now feel so dumb ive never thought purpose,sadness,1.5
start working full time next week where im currently im feeling bit ungrateful moment,sadness,1.5
learned how much more like neighbourhood place feels humans dogs very sympathetic understand quixotic need walk dog walk period,joy,5.0
remain hopeful feeling actually excitement longmissed friend,joy,5.0
want healthy happy so badly fact healing without leg making feel useless not empty,sadness,1.5
got phone feeling numb,sadness,1.5
also feeling ole restless leg syndrome shifted back forth legs trying something excess energy just hit,sadness,1.5
feel much lighter clearer more energetic,joy,5.0
feel heartless even though heart hurts,sadness,1.5
feel like efforts all vain continuing pursue will only embarrass road,sadness,1.5
started feeling little funny not anxiety time didnt know so started tell brother man dont feel good said whats wrong said dont know better drive so pulled let drive,fear,2.0
feel so much boring straight hair all years haha,sadness,1.5
feel rotten no amount suggesting losing sense smell terribly disorientating experience wine person seems convince people might not actually live feel good again,sadness,1.5
got home told peter how feeling wasnt shocked all telling,surprise,3.5
ive come feel supporting character one alltime favorite films giant,love,4.5
could almost feel gentle touch moonbeam sent shine added touching face dreamily,love,4.5
either feel submissive such agree taking pain someone there not option presented,sadness,1.5
really struggling run discomfort feeling determined continue crowds bridge massive didnt want one first people saw walking stopping,sadness,1.5
feel like beats just any popular highend foundation market either ulta sephora,joy,5.0
just expressing unexpected kind gesture made feel bad short moment not intent larger moment remains reminded blessings like good friends back,sadness,1.5
hated work everyday no days next two weeks dont like jobs feel unsuccessful when talk other people,sadness,1.5
keep fighting life truly run fight ive close enough twice know bit feels like not there yet no matter how despairing all feels,sadness,1.5
just feel troubled,sadness,1.5
like reviews got target few days ago so feel acceptable review all makeup lovers,joy,5.0
feel like devoted can reduce impact environment wrote blog babsbrisbane,joy,5.0
feel quite pleased little bits news so will celebrate tonight meet brewer event hawkshead some members one newest pubs,joy,5.0
woke feel thankful god giving another day go,joy,5.0
feel like so important publicly bless virus,sadness,1.5
feel thrilled end month round will completed can begin recover,joy,5.0
wish there more times when just needed hold rock sleep moments when feel most successful father times when im able meet all needs just there,joy,5.0
im really not taking information lately could explain why ive feeling sort discontent lately,sadness,1.5
exactly feel whenever feel lonely depressed then pray help guidance,sadness,1.5
must say dont consider family broken nor feel any discontent not father around,joy,5.0
im feeling little dirty,sadness,1.5
feel so relieved happy realize said,joy,5.0
mean when true style see reflection like mirror all ugliness society there make us feel ugly inadequate based looks suddenly becomes completely annulled,joy,5.0
not feel assured,fear,2.0
feel im handling well im enjoying said,joy,5.0
im not feeling jolly year though,sadness,1.5
feel special excitement happiness,joy,5.0
reckon need stop feeling bitter realistic,anger,1.0
got great pump halfway workout started feel fantastic,joy,5.0
stay more distanced others feel strange sometimes feel like new friendship growing forming,surprise,3.5
leave something sometimes throw some change tip jar other times dont leave anything feel rude haha,sadness,1.5
im far ahead than released tankouban sold here just wont same anymore wait wont thrilling damn even feel slightly remorseful,sadness,1.5
get paid too much get so many deliveries work im feeling bit shamed so will curb spending bit,sadness,1.5
feel bad knocking show far didnt see smackdown week cant just assume carried show like every week daniel bryan doesnt appear,sadness,1.5
feel happy outcome long election im glad,joy,5.0
just feel like im going nowhere period time where so very much enthralled life options proposed now,sadness,1.5
could maybe get away simpler folk melodies some songs something fairly predictable just guitar would end feeling dull,sadness,1.5
dont like christmas feel like lost meaning,sadness,1.5
feel less alone,joy,5.0
feel one most talented teams nfl some reason people feel like theres nothing really fear,joy,5.0
feel hearts decision stop caring can reversed,sadness,1.5
feeling itll little more messy going home though,sadness,1.5
feel welcomed barn like son coming home,joy,5.0
wish right language convey simultaneous feelings excitement peaceful enjoyment country cycling also element,joy,5.0
feel there no excuse lame invitations,sadness,1.5
feel horrible expensive when happens,sadness,1.5
also got some very nice condimenttype presents local garden centre today so feeling achieved something towards festive season,joy,5.0
waking middle night again aches pains generally feeling grumpy,anger,1.0
dont feel betrayed cause backstabber no grounds accusation im just amazed some peoples ability such things,surprise,3.5
when first started reading city dark magic thought would challenge actually enjoy since felt like content famous classical music head luckily ploughing first chapter became more confident started feeling less dumb,sadness,1.5
im not constantly horny always feeling playful,joy,5.0
feel more shy swedish,fear,2.0
ill let shed few tears feel bitter confused frustrated hurt last time,anger,1.0
encourage next time youre feeling little uncomfortable best embrace,fear,2.0
feel useless httpjuliemadblogger,sadness,1.5
feel like crows roosters will teamed horses go bulls sharks other monsters trying take cool ranch,joy,5.0
not scared let feel deeply many people too frightened let themselves,fear,2.0
still feel too chubby wear cute summer clothes dreamed,joy,5.0
feel rotten feet still swell eat feel bad more eat feel worse,sadness,1.5
feel acceptable not everyday food,joy,5.0
lucky enough feel squeeze win another festive challenge involved box full items identify blindly fondling hole,joy,5.0
im feeling very uncertain future,fear,2.0
feel like im not pretty smart interesting enough boyfriend would feel more stimulated happy someone else,sadness,1.5
feeling most likeable characters arent important enough plot,sadness,1.5
like making list things like world always makes feel joyful,joy,5.0
feel very saddened king once quite respected far monarchs go ineffectual best,sadness,1.5
feel more energetic,joy,5.0
feel very honoured how much shared expressed trusts,joy,5.0
feel strange sort liberation,surprise,3.5
just feel end marriage deserves truthful explanation,sadness,1.5
feel so weird scattered all wonders million different things,surprise,3.5
feel though most people will find quite pleasant,joy,5.0
believe minds focused daily rat race bodies simply forget how feel vital free classic case lose dont use,joy,5.0
still wake feeling suspicious,fear,2.0
feel little hesitant leave time,fear,2.0
typed all blood pressures month feeling hes not going too pleased lack missing information,fear,2.0
feel so disgusted when see blood feel like fainting also when people eat raw meat front,anger,1.0
im always feeling so agitated overly excited impatient close,anger,1.0
now feeling delighted daunted,joy,5.0
feel ashamed type all,sadness,1.5
just notice ruining happy moment feeling discontent resistance receiving love genuine way delivered,sadness,1.5
admire feel like even though shes gorgeous talented hasnt succumbed hollywood pressures like lot alisters,joy,5.0
dont schedule childhood friends feel little timid just getting there,fear,2.0
feel empty inside not surprising considering havent eaten all day,sadness,1.5
party met girl drew,anger,1.0
always make things harder im not going lie sometimes way complicating very simple however new baby pretty big undertaking comment many many others feel like sees himself disturbed very little,sadness,1.5
feeling too sociable,joy,5.0
feel discouraged supervisor said,sadness,1.5
sitting class feeling somehow disturbed,sadness,1.5
continue write feel more more distraught,fear,2.0
start feel lethargic blogging,sadness,1.5
feels like tortured,fear,2.0
wasting life away going one person another find love feeling shitty antisocial polytechnic life when met guy,sadness,1.5
only view oz occasional viewings home away even bit neighbours im feeling really tragic,sadness,1.5
thought would grumpily curse world remain angry oh dont even really know sometimes feels like im angry absolutely everything,anger,1.0
im not condoning terrorist action feel so furious powerless,anger,1.0
just finished watching korean drama secret garden omg feeling way girls such shows mixture hope little tug truth says romantic gestures only exist films,love,4.5
feeling stronger recharged excited get back runs,joy,5.0
think husband feels greatly respected wife will draw make much less likely would want flirt other women,joy,5.0
im feeling very disturbed tons things,sadness,1.5
feel apprehensive nervous times how performing modules,fear,2.0
feel bit dazed so excited going so protective not going let,surprise,3.5
im gestating one feeling pretty thrilled,joy,5.0
know can take weeks book go free amazon barnes noble age where cents can buy fulllength ebook feel little funny charging even cents work almost certain pages possibly,surprise,3.5
feel terrific every one,joy,5.0
aspire capture manner feel tension resolved why austere introspective training still place alongside study method euskc,joy,5.0
ton fun thrift store feel like got some really useful pieces can get current trends cheap,joy,5.0
find feeling anxious unsure,fear,2.0
honestly wish christmas celebrated summer feel like tend not jolly wish could,joy,5.0
ive blogged feel strange,surprise,3.5
guess comes believing when younger anger not feeling acceptable so tried not,joy,5.0
pleased report many ways feeling well,joy,5.0
moved now feel like people think means im just ok dont need talk jeremy anymore,joy,5.0
im also still feeling whiny hell so possible could rant bit today,sadness,1.5
still feel left feel like most hated kid asian crew,anger,1.0
feel like greedy pig catching cause afterward yay im gonna get delicious chocolates exchange zjs gonna get bai tu tang,anger,1.0
know feels like scared something,fear,2.0
started feel so overwhelmed,fear,2.0
feel slytherin house slytherin smart enough know how get job done any cost,joy,5.0
didnt react way really feel im ecstatic marriage tonks,joy,5.0
im not feeling pressured perform athletic moves order stay field,fear,2.0
feel unfortunate dont lot time spend family,sadness,1.5
can imagine most young people might feel resentful attention sibling getting also feeling guilt same time,anger,1.0
dont really know oldest one very well mother seems feel not sweet,joy,5.0
feel though giving too many details unimportant things like chriss mundane life left other details like more character depth especially secondary characters,sadness,1.5
know shes only one provides income family right now feels like shes putting face shes supporting us,anger,1.0
feel like im superior human race,joy,5.0
feel more assured made peace atheism,joy,5.0
just want feel loved,love,4.5
only talk how people make feel only people talk ones make feel unhappy upset nervous angry,sadness,1.5
tend feel defeated,sadness,1.5
im feeling more lively than yesterday still not sure food though,joy,5.0
also baked enough cookies take local bbw tomorrow night feel so bad employees work,sadness,1.5
feel slightly unfortunate sense calendar year wasnt great year systems im honest,sadness,1.5
met ex briefly just catch leaving sarawak lololol good seeing again now feel so awkward typing,sadness,1.5
considered jogging since not too cold today decided right ankle already feeling tender some reason,love,4.5
im feeling so embarrassed frightened wouldve smashed window slid dukes hazzardstyle would get garage man stop glaring,sadness,1.5
im feeling way often blindly carefree days youth uncharted waters maturity aka midlife crisis here explore transformation via one favorite things tracy anderson method,joy,5.0
feel like leadership training perfect vision god wants missionary work now,joy,5.0
when studying always feeling process unpleasant absolutely necessary,sadness,1.5
im feeling really outgoing get really quiet person try make feel comfortable,joy,5.0
feel guilt should more caring im not,love,4.5
feel gazing giving naughty smile encouraging study more,love,4.5
feeling fairly keen,joy,5.0
feel threatened when other people not believe,fear,2.0
feel like im better able things comes back,joy,5.0
feeling current feelings anything when all resolved feelings will change,joy,5.0
feeling selfhate going when find feeling hateful someone else all feel power compassion spirit once more remembering spiritual,anger,1.0
feel appreciative take care baby try keep apartment clean much possible try not call million times find when hell home varies day day sort selfemployed so hard plan things around schedule,joy,5.0
im just feeling emo bitchy moment,anger,1.0
afraid water when young people feel afraid death never experienced,fear,2.0
dare following when im feeling brave enough,joy,5.0
feel eager well feel like ive got more titles,joy,5.0
im looking stress levels im feeling not loving how concentrated mindset planning wedding four months,love,4.5
im feeling quite positive want achieve,joy,5.0
family can feel passionate completely comfortable,joy,5.0
feel others decide im delighted fans paintings will now able see body work im very proud,joy,5.0
ive never done detox cleanse really no desire feel like cleanses cycle around become popular every couple years id pretty much written,joy,5.0
came utah freaking not knowing life feeling less worthwhile not going mission like every other girl just stressed daily stresses life lovingly given,joy,5.0
feeling very indecisive spontaneous,fear,2.0
feel beaten feel void,sadness,1.5
feel like resolutions boring clich,sadness,1.5
feel pressured well feel,fear,2.0
im feeling rotten pretending just aint so,sadness,1.5
im feeling excited,joy,5.0
ive feeling delicate week,love,4.5
feel very rude ignorant,anger,1.0
can begin see first step suddenly life not feel so despairing,sadness,1.5
feeling would one eliminated wasnt completely convinced cooking skills da bomb yes im whipping early s lingo,joy,5.0
feel stupid enough,sadness,1.5
begin sense how characters feeling heartbreaks theyre suffering suffered already,sadness,1.5
feel completely rude not keeping some course year mightily busy one,anger,1.0
walked school felt bounce step overjoyed feelings youth thrill excitement coming school meeting beloved friends,love,4.5
ready read read read today even though im feeling very groggy morning,sadness,1.5
just cant help feel like must protect innocent,joy,5.0
feel gracious presence even now,joy,5.0
like should feel sweet feel offended,love,4.5
cannot even begin express words depth sorrow feel not posted any ludicrous rants past days,surprise,3.5
monday took math bs test flunked second time,sadness,1.5
still feel little weird uncertain,fear,2.0
wanna feel gorgeous body underneath next time im fucking ya alex took deep breath eyes seemed glow imagined scenario mind scene pictured many times,joy,5.0
guess feel like im too passionate something will get taken away,love,4.5
im not sure why theres nothing will get person feeling amorous faster than stay hotel,love,4.5
feel make perfect duo,joy,5.0
dont feel any better,joy,5.0
im lucky enough life meet someone makes feel safe happy secure loved feel theres no reason wait,joy,5.0
would feel productive,joy,5.0
im not feeling jolly least,sadness,1.5
miss not feeling exhausted outside heat minutes,sadness,1.5
didnt think possible make cover expressed personality novel since strange crossgenre story photo found nails heart book so closely feel bit stunned,surprise,3.5
sure would love stop feeling so horny all time,love,4.5
appreciate how clean lifestyles even though admit there few moments where complete aversion substances sex made feel little repressed,sadness,1.5
come summertime feeling like coach hated,anger,1.0
find feeling paranoid something going ruin could only described fairy tale love affair,fear,2.0
cannot explain why need say please understand feeling heart im not heartless person,anger,1.0
take photos suppose since feel least talented area portraiture most admire ability others,joy,5.0
very sad feel distracted not participating relationship think,anger,1.0
just keep feeling blessed,love,4.5
think also changed obviously making more effort go things make friends feel less shy less bothered peoples judgement appearance,fear,2.0
can tell arms hands feel weaker feel more numb tingly night when wake,sadness,1.5
almost feel too stubborn come back said leaving,anger,1.0
feel like actually creative person now,joy,5.0
feeling pretty excited,joy,5.0
feel more optimistic everything than long time,joy,5.0
im feeling very doubtful necessity big coat,fear,2.0
feeling joyful every part feels happy light whimsical,joy,5.0
feel so relaxed happy when im water,joy,5.0
never draw both sides pages like know can add drawings when feel like rather than feeling pressured finished all one go,fear,2.0
think ive just feeling little bothered,anger,1.0
wasnt very interested evoked feeling earth grittiily doomed aliens quite well,sadness,1.5
agree even though when feel discouraged like go places lots color make feel better,sadness,1.5
feel like world boy im glad time can,joy,5.0
dont know im feeling blessed,joy,5.0
im feeling fab thank so very much asking,joy,5.0
should pull feel resentful edgy,anger,1.0
lying corner moonlight shone face saw pale face mouth halfclosed eyes made people feel more distressed,fear,2.0
feel little scared new lot learn im sure everything going fine can together,fear,2.0
wondering will focus problems anyway not caring themselves when complaining feeling needy,sadness,1.5
feel like im really needy,sadness,1.5
just feel greedy lame making one,anger,1.0
see look doubt face feel scorn eyes anyone skeptical grits dinner please see totally amazing sister mashed potatoes,fear,2.0
get feeling could dangerous,anger,1.0
randomly heard ever since then watching video delight music just makes feel jolly,joy,5.0
feel satisfied ive made cutoff can only receive overflow money stsm told im just going wait overflow instead trying hit help team,joy,5.0
rarely feel happily joyful dont walk smiling much,joy,5.0
hurt feelings sorry,sadness,1.5
felt stronger wish free selfcherishing refuge practice return feeling freedom protection suffering stayed rest meditation,sadness,1.5
